id,document_id,state,county,municipality,vendor_raw,vendor_normalized,contract_period_raw,fiscal_year,fill_type,volume_tons,price_per_ton,line_total,contract_terms,source_page,extraction_method,extraction_confidence,normalized_confidence,confidence_score,review_status,review_notes,extracted_at,source_url,source_file,retrieval_date,doc_state,contract_reference,contract_period_start,contract_period_end
3215,1,MI,Chippewa,Goetzville,Detroit Salt,Detroit Salt,,2027,early_fill,2250.0,76.01,171022.5,,27,deterministic_pdf,0.92,0.92,0.92,auto_accepted,,2026-08-27 20:03:49,https://www.michigan.gov/dtmb/-/media/Project/Websites/dtmb/Procurement/Contracts/MiDEAL/002/260000000712.pdf?rev=8d4ed14d634d466fa9207bb1d92c2458&hash=AAB40CFD3A7E1C61C7C17CA7044DBB4B,/Users/arshnoorkaur/Downloads/road_salt_tracker/data/raw/MI/doc_1.pdf,2026-08-27,MI,260000000712,2026-10-01,2027-09-30
3216,1,MI,Chippewa,Kinross,Detroit Salt,Detroit Salt,,2027,early_fill,6000.0,76.01,456060.0,,27,deterministic_pdf,0.92,0.92,0.92,auto_accepted,,2026-08-27 20:03:49,https://www.michigan.gov/dtmb/-/media/Project/Websites/dtmb/Procurement/Contracts/MiDEAL/002/260000000712.pdf?rev=8d4ed14d634d466fa9207bb1d92c2458&hash=AAB40CFD3A7E1C61C7C17CA7044DBB4B,/Users/arshnoorkaur/Downloads/road_salt_tracker/data/raw/MI/doc_1.pdf,2026-08-27,MI,260000000712,2026-10-01,2027-09-30
3217,1,MI,Chippewa,Eckerman,Detroit Salt,Detroit Salt,,2027,early_fill,4750.0,76.01,361047.5,,27,deterministic_pdf,0.92,0.92,0.92,auto_accepted,,2026-08-27 20:03:49,https://www.michigan.gov/dtmb/-/media/Project/Websites/dtmb/Procurement/Contracts/MiDEAL/002/260000000712.pdf?rev=8d4ed14d634d466fa9207bb1d92c2458&hash=AAB40CFD3A7E1C61C7C17CA7044DBB4B,/Users/arshnoorkaur/Downloads/road_salt_tracker/data/raw/MI/doc_1.pdf,2026-08-27,MI,260000000712,2026-10-01,2027-09-30
3218,1,MI,Mackinac,Mackinac CRC,Detroit Salt,Detroit Salt,,2027,early_fill,900.0,79.84,71856.0,,27,deterministic_pdf,0.92,0.92,0.92,auto_accepted,,2026-08-27 20:03:49,https://www.michigan.gov/dtmb/-/media/Project/Websites/dtmb/Procurement/Contracts/MiDEAL/002/260000000712.pdf?rev=8d4ed14d634d466fa9207bb1d92c2458&hash=AAB40CFD3A7E1C61C7C17CA7044DBB4B,/Users/arshnoorkaur/Downloads/road_salt_tracker/data/raw/MI/doc_1.pdf,2026-08-27,MI,260000000712,2026-10-01,2027-09-30
3219,1,MI,Mackinac,Engadine,Detroit Salt,Detroit Salt,,2027,early_fill,3300.0,79.84,263472.0,,27,deterministic_pdf,0.92,0.92,0.92,auto_accepted,,2026-08-27 20:03:49,https://www.michigan.gov/dtmb/-/media/Project/Websites/dtmb/Procurement/Contracts/MiDEAL/002/260000000712.pdf?rev=8d4ed14d634d466fa9207bb1d92c2458&hash=AAB40CFD3A7E1C61C7C17CA7044DBB4B,/Users/arshnoorkaur/Downloads/road_salt_tracker/data/raw/MI/doc_1.pdf,2026-08-27,MI,260000000712,2026-10-01,2027-09-30
3220,1,MI,Mackinac,St. Ignace,Detroit Salt,Detroit Salt,,2027,early_fill,6200.0,79.84,495008.0,,27,deterministic_pdf,0.92,0.92,0.92,auto_accepted,,2026-08-27 20:03:49,https://www.michigan.gov/dtmb/-/media/Project/Websites/dtmb/Procurement/Contracts/MiDEAL/002/260000000712.pdf?rev=8d4ed14d634d466fa9207bb1d92c2458&hash=AAB40CFD3A7E1C61C7C17CA7044DBB4B,/Users/arshnoorkaur/Downloads/road_salt_tracker/data/raw/MI/doc_1.pdf,2026-08-27,MI,260000000712,2026-10-01,2027-09-30
3221,1,MI,Mackinac,Mackinac Bridge,Detroit Salt,Detroit Salt,,2027,early_fill,300.0,79.84,23952.0,,27,deterministic_pdf,0.92,0.92,0.92,auto_accepted,,2026-08-27 20:03:49,https://www.michigan.gov/dtmb/-/media/Project/Websites/dtmb/Procurement/Contracts/MiDEAL/002/260000000712.pdf?rev=8d4ed14d634d466fa9207bb1d92c2458&hash=AAB40CFD3A7E1C61C7C17CA7044DBB4B,/Users/arshnoorkaur/Downloads/road_salt_tracker/data/raw/MI/doc_1.pdf,2026-08-27,MI,260000000712,2026-10-01,2027-09-30
3222,1,MI,Antrim,Central Lake,Detroit Salt,Detroit Salt,,2027,early_fill,650.0,81.07,52695.5,,27,deterministic_pdf,0.92,0.92,0.92,auto_accepted,,2026-08-27 20:03:49,https://www.michigan.gov/dtmb/-/media/Project/Websites/dtmb/Procurement/Contracts/MiDEAL/002/260000000712.pdf?rev=8d4ed14d634d466fa9207bb1d92c2458&hash=AAB40CFD3A7E1C61C7C17CA7044DBB4B,/Users/arshnoorkaur/Downloads/road_salt_tracker/data/raw/MI/doc_1.pdf,2026-08-27,MI,260000000712,2026-10-01,2027-09-30
3223,1,MI,Antrim,Kewadin,Detroit Salt,Detroit Salt,,2027,early_fill,750.0,81.07,60802.5,,27,deterministic_pdf,0.92,0.92,0.92,auto_accepted,,2026-08-27 20:03:49,https://www.michigan.gov/dtmb/-/media/Project/Websites/dtmb/Procurement/Contracts/MiDEAL/002/260000000712.pdf?rev=8d4ed14d634d466fa9207bb1d92c2458&hash=AAB40CFD3A7E1C61C7C17CA7044DBB4B,/Users/arshnoorkaur/Downloads/road_salt_tracker/data/raw/MI/doc_1.pdf,2026-08-27,MI,260000000712,2026-10-01,2027-09-30
3224,1,MI,Antrim,Mancelona,Detroit Salt,Detroit Salt,,2027,early_fill,1600.0,81.07,129712.0,,27,deterministic_pdf,0.92,0.92,0.92,auto_accepted,,2026-08-27 20:03:49,https://www.michigan.gov/dtmb/-/media/Project/Websites/dtmb/Procurement/Contracts/MiDEAL/002/260000000712.pdf?rev=8d4ed14d634d466fa9207bb1d92c2458&hash=AAB40CFD3A7E1C61C7C17CA7044DBB4B,/Users/arshnoorkaur/Downloads/road_salt_tracker/data/raw/MI/doc_1.pdf,2026-08-27,MI,260000000712,2026-10-01,2027-09-30
